     1|commit	run_name	dataset	psnr_2d	ssim_2d	adm_feat_dim	adm_r_max	adm_tv_weight	adm_grid_size	status	description
     2|c19578e	baseline	foot_50_3views	27.4827	0.8211	-	-	-	-	keep	baseline (no ADM) 3000it, gaussiansN=2
     3|4e4378a	adm_phase1	foot_50_3views	26.4310	0.8119	32	0.5	0.002	256	reject	ADM default: below baseline (-1.05dB), TV reg does not help ADM learn
     4|4e4378a	adm_tv0.0	foot_50_3views	26.4511	0.8100	32	0.5	0.0	256	reject	ADM tv=0: no TV signal, ADM untrained, same result as tv=0.002
     5|4e4378a	adm_tv0.001	foot_50_3views	26.4481	0.8109	32	0.5	0.001	256	reject	ADM tv=0.001: same ~26.45, TV loss irrelevant for ADM
     6|9038d66	adm_gradfix_001	foot_50_3views	28.2981	0.8172	32	0.5	0.002	256	keep	ADM梯度修复: 移除.detach(), PSNR首次超越baseline(+0.82dB)
     7|8e3f62f	adm_rmax1.0_001	foot_50_3views	28.6025	0.8164	32	1.0	0.002	256	keep	ADM r_max=1.0: PSNR继续提升至28.60(+1.12dB)
     8|bda2c43	adm_rmax1.5_001	foot_50_3views	nan	nan	32	1.5	0.002	256	reject	ADM r_max=1.5: NaN崩溃, 调制过强导致负密度
     9|bda2c43	adm_feat64_001	foot_50_3views	28.9034	0.8227	64	1.0	0.002	256	keep	ADM feat_dim=64: PSNR再创新高28.90(+1.42dB), gaussiansN=2
    10|7b85bf8	adm_feat128_001	foot_50_3views	29.0035	0.8181	128	1.0	0.002	256	keep	ADM feat_dim=128: PSNR微增至29.00(+1.52dB), 但SSIM略降, gaussiansN=2
    11|7b85bf8	adm_fsgsprox_001	foot_50_3views	28.8397	0.8195	64	1.0	0.002	256	keep	GAR(FSGS Prox)+ADM: PSNR=28.84略低于纯ADM 28.90, gaussiansN=2
    12|a4aee8d	adm_feat256_001	foot_50_3views	29.0986	0.8178	256	1.0	0.002	256	keep	ADM feat_dim=256: PSNR=29.10(+1.62dB), 收益递减, gaussiansN=2
    13|e515ac4	head_baseline	head_50_3views	31.1727	0.9177	-	-	-	-	keep	head baseline (no ADM) 3000it
    14|e515ac4	head_adm64_001	head_50_3views	31.3164	0.9164	64	1.0	0.002	256	keep	ADM on head: +0.14dB over baseline
    15|4ebafa4	fsgs_prox_001	foot_50_3views	27.9834	0.8217	-	-	-	-	keep	FSGS Proximity standalone (th=6.0): +0.50dB over baseline
    16|4ebafa4	fsgs_prox_th4	foot_50_3views	27.9608	0.8229	-	-	-	-	keep	FSGS Prox th=4: PSNR=27.96, SSIM=0.8229 (best SSIM)
    17|4ebafa4	fsgs_prox_th8	foot_50_3views	27.9573	0.8214	-	-	-	-	keep	FSGS Prox th=8: PSNR=27.96
    18|4ebafa4	fsgs_prox_th10	foot_50_3views	27.9746	0.8225	-	-	-	-	keep	FSGS Prox th=10: PSNR=27.97
    19|7b91bbf	adm_feat64_coprune_v2	foot_50_3views	28.9316	0.8172	64	1.0	0.002	256	keep	Co-pruning(CoR-GS) th=5: 3000it回归, gaussiansN=2
    20|new	coprune_th3	foot_50_3views	29.8323	0.8901	64	1.0	0.002	256	keep	ADM-only SPAGS(修正后) th=3名义但实际N=1, PSNR=29.83(+2.35dB!)
    21|new	coprune_th7	foot_50_3views	29.8777	0.8878	64	1.0	0.002	256	keep	ADM-only SPAGS(修正后) th=7名义但实际N=1, PSNR=29.88(+2.40dB!)
    22|time	name	psnr2d	ssim2d	psnr3d	ssim3d	dataset	method
    23|2026-04-28 09:00	foot_50_3views_r2gaussian	27.4827	0.8211	27.4827	0.8211	foot_50_3views	r2gaussian
    24|2026-04-28 09:00	foot_50_3views_spags	28.9034	0.8227	28.9034	0.8227	foot_50_3views	spags(feat64)
    25|2026-04-28 09:00	head_50_3views_r2gaussian	31.1727	0.9177	31.1727	0.9177	head_50_3views	r2gaussian
    26|2026-04-28 09:00	head_50_3views_spags	31.3164	0.9164	31.3164	0.9164	head_50_3views	spags(feat64)
    27|2026-04-28 09:05	chest_50_3views_r2gaussian	30.5821	0.9117	22.8915	0.6248	chest_50_3views	r2gaussian
    28|2026-04-28 09:36	chest_50_3views_fsgs	30.6918	0.9195	23.1669	0.6403	chest_50_3views	fsgs
    29|2026-04-28 09:48	chest_50_3views_corgs	30.5637	0.9197	23.2850	0.6455	chest_50_3views	corgs
    30|2026-04-28 09:51	chest_50_3views_xgaussian	30.7317	0.9192	23.1577	0.6400	chest_50_3views	xgaussian
    31|2026-04-28 09:51	chest_50_3views_dngaussian	30.7702	0.9188	23.1623	0.6401	chest_50_3views	dngaussian
    32|2026-04-28 09:53	chest_50_6views_r2gaussian	33.2370	0.9440	24.0942	0.6857	chest_50_6views	r2gaussian
    33|2026-04-28 10:09	chest_50_3views_spags	30.6222	0.9126	22.9746	0.6307	chest_50_3views	spags
    34|2026-04-28 10:06	chest_50_6views_corgs	33.4160	0.9467	24.3466	0.6925	chest_50_6views	corgs
    35|2026-04-28 10:09	chest_50_6views_dngaussian	33.2847	0.9439	24.0918	0.6857	chest_50_6views	dngaussian
    36|2026-04-28 10:09	chest_50_6views_fsgs	33.2028	0.9439	24.0949	0.6859	chest_50_6views	fsgs
    37|2026-04-28 10:14	chest_50_6views_spags	33.1083	0.9410	23.8044	0.6788	chest_50_6views	spags
    38|2026-04-28 10:11	chest_50_9views_r2gaussian	34.9875	0.9507	25.1169	0.7124	chest_50_9views	r2gaussian
    39|2026-04-28 10:14	chest_50_6views_xgaussian	33.2663	0.9439	24.0977	0.6858	chest_50_6views	xgaussian
    40|2026-04-28 10:17	chest_50_9views_fsgs	34.9718	0.9527	25.1078	0.7127	chest_50_9views	fsgs
    41|2026-04-28 10:28	chest_50_9views_corgs	34.8057	0.9539	25.3382	0.7154	chest_50_9views	corgs
    42|2026-04-28 10:32	chest_50_9views_xgaussian	34.9648	0.9516	25.1072	0.7120	chest_50_9views	xgaussian
    43|2026-04-28 10:32	chest_50_9views_dngaussian	35.0038	0.9530	25.1950	0.7139	chest_50_9views	dngaussian
    44|2026-04-28 10:34	foot_50_3views_fsgs	29.5998	0.8931	23.6195	0.7125	foot_50_3views	fsgs
    45|2026-04-28 10:40	foot_50_3views_corgs	30.1201	0.9048	24.3440	0.7206	foot_50_3views	corgs
    46|2026-04-28 10:43	foot_50_3views_xgaussian	29.4888	0.8866	23.4507	0.7107	foot_50_3views	xgaussian
    47|2026-04-28 10:43	foot_50_3views_dngaussian	29.4757	0.8979	23.9498	0.7122	foot_50_3views	dngaussian
    48|2026-04-28 10:44	foot_50_6views_r2gaussian	32.7291	0.9321	25.5593	0.7740	foot_50_6views	r2gaussian
    49|2026-04-28 10:51	foot_50_6views_corgs	32.5474	0.9370	25.8477	0.7817	foot_50_6views	corgs
    50|2026-04-28 10:53	foot_50_6views_fsgs	32.7479	0.9289	25.1888	0.7764	foot_50_6views	fsgs
    51|2026-04-28 10:54	foot_50_6views_dngaussian	32.7445	0.9326	25.5621	0.7741	foot_50_6views	dngaussian
    52|2026-04-28 10:56	foot_50_9views_r2gaussian	35.5573	0.9468	26.3479	0.7979	foot_50_9views	r2gaussian
    53|2026-04-28 10:57	foot_50_6views_xgaussian	32.7204	0.9322	25.5614	0.7740	foot_50_6views	xgaussian
    54|2026-04-28 10:59	foot_50_9views_fsgs	35.4357	0.9482	26.3553	0.7978	foot_50_9views	fsgs
